release_year,id,popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2010,9597,37.36417630509534,250525.84318016047,0.06074815046368657,0.5980775659060107,0.6519934755444406,-7.258949463373963,0.6382202771699489,0.07828878816296779,0.30521958100135615,0.057110913545899894,0.2090474210690853,0.5531518818380748,121.84733635511036
2011,9689,37.050985653834246,244701.9164000413,0.07173082877489938,0.5882430281762836,0.6584195078955517,-7.2973448240272445,0.6258643822891939,0.07839075239962826,0.3040325451367543,0.07500877477139033,0.2065375477345449,0.5408134193415194,122.99777169986558
2012,9744,37.05582922824302,237063.2004310345,0.0679392446633826,0.5919740147783255,0.6753453920258626,-7.045179289819385,0.624692118226601,0.07988668924466329,0.2784994124199515,0.08854932027606728,0.21098041871921264,0.5388953858784888,122.50763310755345
2013,10557,36.071705977076824,241716.18821634934,0.07246376811594203,0.5910192384200009,0.6776628075210772,-7.239631808278871,0.616557734204793,0.08248841526948912,0.27293760742919465,0.11389448143317217,0.20929614473808883,0.5163033996400513,123.15152808563042
2014,11252,36.800035549235695,235323.00106647707,0.08416281549946676,0.5988878865979337,0.6697733570654129,-7.107159082829702,0.6194454319232137,0.08337476892996774,0.28685187889975394,0.09489109908638461,0.21448927301813028,0.527907662637754,122.583300479915
2015,10591,37.81899726182608,230674.28099329618,0.10008497781134926,0.5957923803229163,0.6460786407799054,-7.573671796808613,0.6144839958455293,0.08505499952790083,0.3003047799990561,0.10174541899537393,0.2085454631290733,0.5086672580492902,121.25924039278652
2016,11083,39.28033925832356,230114.18541911035,0.12415410989804204,0.6041403681313708,0.6594370378507625,-7.2545737616168715,0.5918975006767121,0.09510230082107737,0.2806687309672476,0.08658524279617448,0.21016524406749124,0.49495433637101827,121.40108400252689
2017,9889,42.23622206492062,229758.4534331075,0.17099807867327332,0.6249721812114458,0.6597300142178186,-7.215648296086573,0.583274345232076,0.10051705935888398,0.2785467149853377,0.08922785000808982,0.20073649509556263,0.49396549418545793,121.33562331883863
2018,10936,42.139539136795904,220775.36155815655,0.1899231894659839,0.6345097476225332,0.6522020264356281,-7.390116770299863,0.5668434528163863,0.10821225310899783,0.27844639477597044,0.09839807736832448,0.19821556327725084,0.48325102057425146,121.68405468178435
2019,11907,44.92055093642395,216802.35264970185,0.21491559586797682,0.6497241034685495,0.6370655286386152,-7.434020240194789,0.5675652977240279,0.11116824556983344,0.29390151937767817,0.08142802084320146,0.1899710758377442,0.4942116603678503,122.0237481313513
