release_decade,id,popularity,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1930s,13037,2.1078468972923217,207309.6631126793,0.0014573905039502954,0.5507741888471255,0.3062872334892992,-13.533045716038947,0.717573061287106,0.19357252435376313,0.8697819639717849,0.2744701813392674,0.21749451560941996,0.5707190212472195,112.71830812303487
1940s,18042,1.7809555481653918,218978.55298747367,0.0007205409599822636,0.47559180800354883,0.26787388471344614,-14.242305509366968,0.7047444850903447,0.09986755348631017,0.914929047178839,0.3807366711578538,0.21407804012858808,0.5010035993792257,107.02656778627652
1950s,35370,8.390698331919706,222781.9371218547,0.0007633587786259542,0.48263143059089714,0.2987142909245116,-14.380537037037033,0.703336160588069,0.10738633022335424,0.8406598813963838,0.24256447823296567,0.21228766186033438,0.49494813016963124,110.71443084534903
1960s,47270,17.899111487201186,209638.16805584938,0.000719272265707637,0.4970371652210783,0.4046823180664293,-12.521468542415795,0.7089909033213455,0.07651998730696091,0.6818045335648432,0.15997080534630947,0.2134366976940979,0.5615042980748839,114.09901741062076
1970s,61841,24.167202988308727,232735.1059167866,0.0018110961983150338,0.5237089261169794,0.5019975426982061,-11.442947090118118,0.6926311023431057,0.10353150660564944,0.5002712584233733,0.10102708940589483,0.22247334648534395,0.5802884895134323,117.38860857683528
1980s,82322,25.677571001676345,228261.05908505624,0.010616846043584947,0.5632683766186448,0.550029530514325,-11.317802191394726,0.6685576152182892,0.13862382716648844,0.4067029814721461,0.08119877439275072,0.22579286290420628,0.5801035266392962,118.85446152911821
1990s,108875,29.461189437428242,241673.9001423651,0.031228473019517797,0.5720888991963264,0.5743820071072399,-10.324523380023193,0.6653318025258323,0.0994233497129734,0.36661718065570226,0.07339255162516628,0.21673807660160407,0.5694995148564901,119.68090537772673
2000s,86841,36.628263147591575,241917.98585921398,0.04919335336995198,0.5901948422979884,0.6492106873573578,-7.5585928881519004,0.638534793473129,0.08042829654195488,0.3129828193823156,0.05604314975357209,0.2107524988196818,0.5641074938105203,121.4155893299244
2010s,105245,39.17328139103996,233228.96628818472,0.11796284859138201,0.6085500185281971,0.6584711850026174,-7.285104537032565,0.603810157252126,0.09078040286949372,0.2877858775770767,0.08905891705772198,0.20560460734476538,0.5142028456743807,122.07262152121127
2020s,20218,41.73716490256207,202002.43144722524,0.2312295973884657,0.6616033534474196,0.6329364730240352,-7.647124591947768,0.5496092590760708,0.11791330002967676,0.2738917711524374,0.11505295068206593,0.18663214462360211,0.5031151231575846,121.86568923731376
